1,"Amrita School of Engineering, Amritapuri, Kollam",Amrita University
2,"College of Engineering, Attingal",CUSAT
3,"College of Engineering, Chengannur",CUSAT
4,"College of Engineering, Cherthala",CUSAT
5,"College of Engineering, Kallooppara",CUSAT
6,"College of Engineering, Kidangoor",CUSAT
7,"College of Engineering, Kollam",CUSAT
8,"College of Engineering, Kottarakkara",CUSAT
9,"College of Engineering, Malappuram",CUSAT
10,"College of Engineering, Munnar",CUSAT
11,"College of Engineering, Pathananthitta",CUSAT
12,"College of Engineering, Perumon",CUSAT
13,"College of Engineering, Poonjar",CUSAT
14,"College of Engineering, Thalassery",CUSAT
15,"College of Engineering, Trikaripur",CUSAT
16,"Co-Operative Institute of Technology, Vadakara",CUSAT
17,"E.R and D.C.I. Institute of Technology, Vellayambalam",CUSAT
18,"Model Engineering College, Thrikkara",CUSAT
19,"M.G. College of Engineering, Thiruvananthapuram",CUSAT
20,"Sarabhai Institute of Science and Technology, Thiruvananthapuram",CUSAT
21,"T.K.M. Institute of Technology, Kollam",CUSAT
22,"T.O.C.H. Institute of Science and Technology, Mulanthuruthy",CUSAT
23,"International School of Photonics, Cochin",CUSAT
24,Indian Institute of Space Science and Technology Thiruvananthapuram,IIST
25,"Co-Operative Arts and Science College, Pazhayangadi",Kannur University
26,"E.K. Nayanar Memorial Govt. College, Nileshwar",Kannur University
27,"Govinda Pai Memorial Govt. College,Manjeswaram",Kannur University
28,"Govt. Brennen College, Thalasery",Kannur University
29,"Govt. College, Mananthavady",Kannur University
30,"Govt. College, Vidyanagar",Kannur University
31,"Krishna Menon Memorial women's College, Kannur",Kannur University
32,"M.G. College, Iritty, Kannur",Kannur University
33,"Mary Matha Arts and Science College, Wayanad",Kannur University
34,"N.A.M. College, Kallikandy",Kannur University
35,"Nehru Arts and Science College, Kanhangad",Kannur University
36,"Nirmalagiri College, Koothuparambu",Kannur University
37,"Payyannur College, Payyannur",Kannur University
38,"Pazhassi raja N.S.S. College, Kannur",Kannur University
39,"S.E.S. College, Kannur",Kannur University
40,"S.N. College, Cannanore ,",Kannur University
41,"Aditya Kiran College of Applied Studies, Kannur",Kannur University
42,"Bhaskara College of Arts, Kannur",Kannur University
43,"Chinmaya Arts and Science for Women, Kannur",Kannur University
44,"College of Applied Science, Kasaragod",Kannur University
45,"College of Applied Science, Kuthuparamba",Kannur University
46,"College of Applied Science, Taliparamba",Kannur University
47,"Devamatha Arts and Science College , Kannur",Kannur University
48,"Dr. Ambedkar Arts and Science College, Kasaragod",Kannur University
49,"Gurudev Arts and Science College, Payyannur",Kannur University
50,"I.T.M. College of Arts and Science, Kannur",Kannur University
51,"Mahatma Gandhi Arts and Science , Kannur",Kannur University
52,"Malabar Islamic Complex Arts and Science College, Thekkil",Kannur University
53,"Mary Matha Arts and Science College, Kannur",Kannur University
54,"Nalanda College of Arts and Science, Kasaragod",Kannur University
55,"S.N.D.P. Yogam Arts and Science College, Kasaragod",Kannur University
56,"Sa-a-Diya Arts and Science College, Kasaragod",Kannur University
57,"Sharaf Arts and Science College, Kasaragod",Kannur University
58,"Sir Syed College, Karimbam",Kannur University
59,"Sir Syed Institute for Technical Studies, Taliparamba",Kannur University
60,"Sree Narayana College, Chathannur",Kannur University
61,"St. Pious College, Kasargod",Kannur University
62,"Taliparamba Arts and Science College , Taliparamba",Kannur University
63,"College of Engineering, Muliyar",Kannur University
64,"Government College of Engineering, Idukki",Kannur University
65,"Government College of Engineering, Cannanore",Kannur University
66,"Govt. College of Engineering, Wayanad",Kannur University
